event,det,row,col,a00,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29
1,30,9,57,10,11,10,9,9,11,9,12,11,11,10,11,9,10,11,8,9,10,12,11,11,9,10,11,12,11,11,8,11,10
1,30,9,58,10,11,10,12,9,9,9,12,9,12,10,10,10,11,11,7,10,11,10,7,10,11,9,9,11,12,11,9,10,11
1,30,9,59,10,15,14,12,12,15,11,11,12,12,11,11,12,12,18,19,18,17,16,20,21,20,20,21,20,21,26,25,22,20
1,30,9,60,26,62,53,35,32,27,24,21,20,20,24,20,18,21,30,33,25,21,21,21,21,22,20,19,19,19,18,20,18,16
1,30,9,61,22,41,38,26,22,18,17,16,16,16,13,16,15,14,13,13,16,12,13,13,11,13,13,15,12,11,11,10,12,9
1,30,9,62,14,10,10,12,12,11,13,10,11,10,11,11,8,10,9,11,8,10,9,11,11,10,10,8,9,11,10,9,10,12
1,54,14,26,10,7,9,9,12,12,11,7,10,9,11,10,10,11,9,10,7,10,9,12,10,11,8,10,12,9,10,10,10,10
1,54,14,27,8,8,9,13,12,11,12,11,10,12,13,15,15,14,16,22,24,31,55,56,51,43,30,24,23,20,18,17,19,14
1,54,14,28,20,41,47,45,38,39,35,34,35,54,77,84,71,64,77,100,92,102,156,153,128,97,73,59,49,44,40,33,34,32
1,54,14,29,65,159,175,132,100,83,68,60,52,58,62,58,50,46,45,41,37,35,39,37,34,29,27,21,20,20,21,18,19,18
1,54,14,30,19,32,34,25,24,18,16,17,15,17,11,12,12,14,12,13,12,10,15,10,12,12,11,11,10,11,11,8,10,11
1,56,14,33,42,62,43,34,29,25,22,21,25,27,26,25,24,23,21,17,20,21,25,32,35,27,21,19,17,16,17,14,13,15
1,56,14,34,291,462,329,235,181,142,129,128,146,170,160,137,116,108,96,85,81,85,104,135,137,108,82,64,57,49,45,43,40,36
1,56,14,35,60,96,72,56,45,39,37,33,37,40,38,34,29,28,24,25,22,22,25,27,28,23,19,16,14,14,17,15,15,15
1,56,14,35,60,96,72,56,45,39,37,33,37,40,38,34,29,28,24,25,22,22,25,27,28,23,19,16,14,14,17,15,15,15
1,57,13,32,10,12,14,15,13,11,13,11,13,12,13,12,14,12,11,14,11,10,9,12,12,9,10,11,9,10,9,8,9,11
1,57,13,33,26,69,73,57,45,45,53,55,83,174,234,217,207,165,121,95,84,84,97,157,175,129,93,70,62,57,49,45,43,40
1,57,13,34,24,55,59,46,39,42,50,53,83,182,239,232,231,186,132,104,97,95,116,202,228,167,117,88,74,63,58,54,49,46
1,57,13,35,10,13,10,12,10,11,11,11,13,16,16,18,20,15,15,15,15,13,13,19,20,16,13,14,12,12,13,11,10,12
1,57,13,35,10,13,10,12,10,11,11,11,13,16,16,18,20,15,15,15,15,13,13,19,20,16,13,14,12,12,13,11,10,12
1,58,12,28,10,11,9,10,8,10,8,9,10,9,10,12,11,8,11,9,9,12,11,10,10,8,9,11,10,11,10,9,10,10
1,58,12,29,10,12,8,7,11,11,11,12,13,18,26,34,41,33,28,28,34,37,30,26,20,21,19,17,18,16,16,17,12,12
1,58,12,30,8,9,12,12,10,11,11,8,13,25,42,63,84,83,70,80,144,199,162,115,102,82,67,59,47,44,36,34,34,32
1,58,12,31,10,11,11,11,11,9,9,12,9,9,10,11,13,14,13,17,25,35,28,24,25,23,17,17,13,15,15,15,12,13
1,58,13,28,13,21,16,16,13,15,12,11,10,12,9,12,10,10,11,11,9,13,9,9,12,8,10,10,10,8,9,10,11,11
1,58,13,29,94,219,178,129,102,83,66,57,50,42,37,34,31,28,30,29,25,23,25,22,20,21,19,18,18,16,19,14,16,15
1,58,13,30,50,115,105,97,101,93,78,80,69,56,47,39,36,31,29,24,24,24,22,22,18,21,19,18,17,19,17,14,15,15
1,58,13,31,10,11,9,11,12,16,13,12,14,13,11,12,12,9,10,8,9,12,13,8,12,11,11,11,10,11,10,9,10,14
1,103,1,6,9,12,7,12,10,11,7,13,10,11,9,11,11,10,10,9,9,11,8,12,12,10,11,13,9,9,10,10,11,9
1,103,1,7,11,12,13,8,12,10,9,10,13,9,8,12,11,9,9,10,10,9,12,8,14,23,36,35,27,21,15,16,14,13
1,103,1,8,10,9,10,9,12,9,10,9,9,10,9,10,9,13,9,11,10,8,12,10,44,154,191,141,93,65,51,43,38,32
1,103,1,9,8,9,9,9,11,12,12,9,9,10,8,11,12,9,11,10,9,10,10,16,62,127,122,80,56,43,35,28,26,26
1,103,1,10,11,10,10,10,10,12,10,11,6,9,8,9,10,9,10,10,10,9,10,13,27,35,28,23,18,19,15,15,11,12
1,103,1,11,9,11,9,9,10,10,8,8,11,12,12,11,11,7,11,9,11,11,9,7,12,14,12,11,10,8,8,9,11,10
